game_date_est,season,game_id,game_status_text,home_team_id,home_team,visitor_team_id,visitor_team,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,REB_away,FG3_PCT_away,AST_away,home_team_wins
03/11/20,2019,21900971,Final,1610612755,PHI,1610612765,DET,124,0.506,0.813,0.424,28,50,106,0.464,0.68,32,0.314,25,1
03/11/20,2019,21900969,Final,1610612737,ATL,1610612752,NYK,131,0.453,0.808,0.341,26,53,136,0.532,0.735,47,0.393,32,0
03/11/20,2019,21900970,Final,1610612748,MIA,1610612766,CHA,98,0.464,0.833,0.341,32,36,109,0.451,0.818,50,0.5,20,0
03/11/20,2019,21900973,Final,1610612742,DAL,1610612743,DEN,113,0.457,0.739,0.343,23,52,97,0.47,0.625,40,0.359,23,1
03/10/20,2019,21900960,Final,1610612754,IND,1610612738,BOS,111,0.495,0.909,0.375,23,43,114,0.441,0.864,46,0.351,19,0
03/10/20,2019,21900961,Final,1610612764,WAS,1610612752,NYK,122,0.473,0.844,0.4,23,37,115,0.519,0.742,36,0.381,30,1
03/10/20,2019,21900962,Final,1610612741,CHI,1610612739,CLE,108,0.5,0.8,0.353,23,46,103,0.5,0.739,35,0.25,29,1
03/10/20,2019,21900963,Final,1610612745,HOU,1610612750,MIN,117,0.513,0.769,0.395,24,33,111,0.482,0.739,41,0.4,21,1
03/10/20,2019,21900964,Final,1610612763,MEM,1610612753,ORL,115,0.5,0.737,0.379,24,39,120,0.467,0.909,41,0.424,31,0
03/10/20,2019,21900965,Final,1610612759,SAS,1610612742,DAL,119,0.517,0.8,0.469,32,40,109,0.457,0.727,42,0.386,23,1
03/10/20,2019,21900966,Final,1610612757,POR,1610612756,PHX,121,0.506,0.824,0.486,20,46,105,0.402,0.96,43,0.344,26,1
03/10/20,2019,21900967,Final,1610612744,GSW,1610612746,LAC,107,0.468,0.815,0.289,25,35,131,0.5,1,47,0.455,28,0
03/10/20,2019,21900968,Final,1610612747,LAL,1610612751,BKN,102,0.46,0.583,0.375,24,46,104,0.411,0.739,47,0.325,24,0
03/09/20,2019,21900957,Final,1610612737,ATL,1610612766,CHA,143,0.552,0.593,0.488,33,53,138,0.471,0.913,35,0.396,31,1
03/09/20,2019,21900958,Final,1610612743,DEN,1610612749,MIL,109,0.436,0.917,0.39,28,48,95,0.378,0.667,48,0.3,23,1
03/09/20,2019,21900959,Final,1610612762,UTA,1610612761,TOR,92,0.398,0.714,0.372,24,34,101,0.434,0.889,53,0.361,22,0
03/08/20,2019,21900946,Final,1610612751,BKN,1610612741,CHI,110,0.5,0.854,0.367,21,50,107,0.424,0.68,31,0.353,23,1
03/08/20,2019,21900947,Final,1610612750,MIN,1610612740,NOP,107,0.394,0.806,0.242,20,42,120,0.489,0.677,54,0.314,28,0
03/08/20,2019,21900948,Final,1610612746,LAC,1610612747,LAL,103,0.395,0.757,0.226,12,49,112,0.448,0.857,45,0.286,22,0
03/08/20,2019,21900949,Final,1610612738,BOS,1610612760,OKC,104,0.413,0.789,0.351,22,46,105,0.443,0.735,39,0.4,16,0
03/08/20,2019,21900950,Final,1610612756,PHX,1610612749,MIL,140,0.553,0.871,0.442,30,47,131,0.537,0.762,36,0.394,23,1
03/08/20,2019,21900951,Final,1610612764,WAS,1610612748,MIA,89,0.333,0.857,0.404,19,29,100,0.485,0.821,46,0.464,21,0
03/08/20,2019,21900952,Final,1610612742,DAL,1610612754,IND,109,0.429,0.68,0.326,19,42,112,0.523,0.667,47,0.348,23,0
03/08/20,2019,21900953,Final,1610612745,HOU,1610612753,ORL,106,0.443,0.76,0.281,21,38,126,0.484,0.806,49,0.448,21,0
03/08/20,2019,21900954,Final,1610612739,CLE,1610612759,SAS,132,0.457,0.733,0.382,26,60,129,0.439,0.917,44,0.385,20,1
03/08/20,2019,21900955,Final,1610612752,NYK,1610612765,DET,96,0.439,0.72,0.316,15,51,84,0.363,0.682,35,0.289,21,1
03/08/20,2019,21900956,Final,1610612758,SAC,1610612761,TOR,113,0.467,0.913,0.258,24,50,118,0.476,0.778,36,0.396,27,0
03/07/20,2019,21900940,Final,1610612766,CHA,1610612745,HOU,108,0.529,0.76,0.469,29,30,99,0.461,0.7,42,0.333,22,1
03/07/20,2019,21900941,Final,1610612765,DET,1610612762,UTA,105,0.465,0.727,0.3,24,38,111,0.519,0.75,40,0.303,17,0
03/07/20,2019,21900942,Final,1610612739,CLE,1610612743,DEN,104,0.553,0.667,0.429,32,39,102,0.506,0.375,33,0.406,28,1
03/07/20,2019,21900943,Final,1610612763,MEM,1610612737,ATL,118,0.494,0.606,0.364,27,58,101,0.337,0.857,46,0.265,23,1
03/07/20,2019,21900944,Final,1610612744,GSW,1610612755,PHI,118,0.55,0.75,0.36,30,35,114,0.488,0.864,41,0.382,29,1
03/07/20,2019,21900945,Final,1610612757,POR,1610612758,SAC,111,0.472,0.654,0.256,22,41,123,0.482,0.87,47,0.538,30,0
03/06/20,2019,21900930,Final,1610612764,WAS,1610612737,ATL,118,0.474,0.886,0.484,24,38,112,0.535,0.667,36,0.375,25,1
03/06/20,2019,21900931,Final,1610612751,BKN,1610612759,SAS,139,0.531,0.71,0.417,32,52,120,0.467,0.889,38,0.294,25,1
03/06/20,2019,21900932,Final,1610612752,NYK,1610612760,OKC,103,0.451,0.773,0.167,19,48,126,0.49,0.8,38,0.387,26,0
03/06/20,2019,21900933,Final,1610612738,BOS,1610612762,UTA,94,0.372,0.778,0.278,19,45,99,0.45,0.833,40,0.378,23,0
03/06/20,2019,21900934,Final,1610612741,CHI,1610612754,IND,102,0.412,0.867,0.237,27,45,108,0.507,0.727,46,0.364,24,0
03/06/20,2019,21900935,Final,1610612750,MIN,1610612753,ORL,118,0.469,0.8,0.27,30,36,132,0.607,0.742,45,0.333,31,0
03/06/20,2019,21900936,Final,1610612740,NOP,1610612748,MIA,110,0.418,0.714,0.368,28,53,104,0.43,0.677,45,0.273,27,1
03/06/20,2019,21900937,Final,1610612742,DAL,1610612763,MEM,121,0.474,0.765,0.383,30,48,96,0.464,0.692,47,0.3,29,1
03/06/20,2019,21900938,Final,1610612756,PHX,1610612757,POR,127,0.495,0.947,0.452,29,47,117,0.494,0.75,39,0.406,26,1
03/06/20,2019,21900939,Final,1610612747,LAL,1610612749,MIL,113,0.418,0.816,0.188,19,52,103,0.416,0.739,45,0.279,22,1
03/05/20,2019,21900926,Final,1610612766,CHA,1610612743,DEN,112,0.494,0.821,0.394,24,34,114,0.53,0.9,38,0.308,29,0
03/05/20,2019,21900927,Final,1610612745,HOU,1610612746,LAC,105,0.361,0.778,0.167,19,51,120,0.464,0.744,57,0.325,22,0
03/05/20,2019,21900928,Final,1610612758,SAC,1610612755,PHI,108,0.532,0.722,0.379,23,37,125,0.49,0.824,45,0.459,24,0
03/05/20,2019,21900929,Final,1610612744,GSW,1610612761,TOR,113,0.408,0.76,0.269,34,52,121,0.476,0.903,39,0.317,28,0
03/04/20,2019,21900917,Final,1610612739,CLE,1610612738,BOS,106,0.438,0.75,0.342,24,50,112,0.465,0.808,49,0.367,16,0
03/04/20,2019,21900918,Final,1610612765,DET,1610612760,OKC,107,0.465,0.6,0.419,27,36,114,0.613,0.706,33,0.417,25,0
03/04/20,2019,21900924,Final,1610612749,MIL,1610612754,IND,119,0.457,0.909,0.283,26,56,100,0.433,0.818,39,0.259,22,1
03/04/20,2019,21900919,Final,1610612748,MIA,1610612753,ORL,116,0.519,0.8,0.5,31,36,113,0.524,0.857,35,0.433,28,1
03/04/20,2019,21900920,Final,1610612751,BKN,1610612763,MEM,79,0.333,0.706,0.167,15,42,118,0.43,0.857,59,0.455,21,0
03/04/20,2019,21900921,Final,1610612752,NYK,1610612762,UTA,104,0.482,0.833,0.35,23,42,112,0.506,0.8,37,0.278,26,0
03/04/20,2019,21900922,Final,1610612750,MIN,1610612741,CHI,115,0.494,0.64,0.442,27,43,108,0.479,0.636,40,0.367,24,1
03/04/20,2019,21900923,Final,1610612742,DAL,1610612740,NOP,127,0.463,0.708,0.44,30,49,123,0.439,0.545,52,0.37,28,1
03/04/20,2019,21900925,Final,1610612757,POR,1610612764,WAS,125,0.519,0.875,0.419,24,47,104,0.388,0.619,48,0.314,27,1
03/03/20,2019,21900909,Final,1610612766,CHA,1610612759,SAS,103,0.476,0.722,0.414,25,46,104,0.475,0.85,33,0.344,25,0
03/03/20,2019,21900910,Final,1610612738,BOS,1610612751,BKN,120,0.427,0.739,0.306,24,42,129,0.43,0.763,63,0.286,22,0
03/03/20,2019,21900911,Final,1610612740,NOP,1610612750,MIN,134,0.52,0.593,0.359,37,44,139,0.557,0.85,42,0.412,31,0
