,GAME_ID,SEASON,GAME_DATE_EST,SEASON,HOME_TEAM_WINS,G,W,L,HOME_W,HOME_L,AWAY_W,AWAY_L,TOP_PLAYERS,EFF,HG_7days,AG_7days,G_7days,BACK2BACK,MISSING_PLAYERS,HOME_ELO,CONFERENCE_VISITOR,TEAM_VISITOR,G_VISITOR,W_VISITOR,L_VISITOR,HOME_W_VISITOR,HOME_L_VISITOR,AWAY_W_VISITOR,AWAY_L_VISITOR,TOP_PLAYERS_VISITOR,EFF_VISITOR,HG_7days_VISITOR,AG_7days_VISITOR,G_7days_VISITOR,BACK2BACK_VISITOR,MISSING_PLAYERS_VISITOR,VISITOR_ELO,ELO_DIFF,TOP_PLAYER_DIFF,MISSING_PLAYER_DIFF,EFF_DIFF,MONTH
0,20400004,2004,11/3/2004,2004,1,0,0,0,0,0,0,0,1,800.7777778,0,0,0,0,0,1513.14551,West,Houston,1,0,1,0,0,0,1,2,802.4545455,0,0,0,0,0,1524.83164,-11.68612982,-1,0,-1.676767677,11
1,20400005,2004,11/3/2004,2004,1,0,0,0,0,0,0,0,0,740,0,0,0,0,0,1444.315322,East,Milwaukee,0,0,0,0,0,0,0,1,776.1111111,0,0,0,0,0,1500.258568,-55.94324629,-1,0,-36.11111111,11
2,20400012,2004,11/3/2004,2004,1,0,0,0,0,0,0,0,1,759.9090909,0,0,0,0,0,1758.345361,West,Sacramento,1,0,1,0,0,0,1,3,988.5555556,0,0,0,0,0,1564.230436,194.1149249,-2,0,-228.6464646,11
3,20400013,2004,11/3/2004,2004,1,0,0,0,0,0,0,0,1,852.2,0,0,0,0,0,1545.900325,East,Atlanta,0,0,0,0,0,0,0,0,575.5,0,0,0,0,0,1431.683348,114.2169772,1,0,276.7,11
4,20400015,2004,11/3/2004,2004,1,0,0,0,0,0,0,0,1,612.8888889,0,0,0,0,0,1475.438161,West,Seattle,0,0,0,0,0,0,0,0,797.875,0,0,0,0,1,1506.11406,-30.67589941,1,-1,-184.9861111,11
5,20400007,2004,11/3/2004,2004,0,0,0,0,0,0,0,0,1,847,0,0,0,0,0,1552.880907,East,Philadelphia,0,0,0,0,0,0,0,0,591.4545455,0,0,0,0,0,1422.040898,130.8400085,1,0,255.5454545,11
6,20400006,2004,11/3/2004,2004,0,0,0,0,0,0,0,0,2,782.8,0,0,0,0,0,1558.481636,East,Indiana,0,0,0,0,0,0,0,0,553.875,0,0,0,0,0,1619.234137,-60.75250047,2,0,228.925,11
7,20400008,2004,11/3/2004,2004,0,0,0,0,0,0,0,0,1,445.7272727,0,0,0,0,0,1614.813019,East,Miami,0,0,0,0,0,0,0,1,665.1,0,0,0,0,0,1545.540937,69.27208256,0,0,-219.3727273,11
8,20400014,2004,11/3/2004,2004,1,0,0,0,0,0,0,0,2,743.1,0,0,0,0,0,1591.965487,West,L.A. Lakers,1,1,0,1,0,0,0,2,616.5454545,0,0,0,0,0,1591.476724,0.488763158,0,0,126.5545455,11
9,20400011,2004,11/3/2004,2004,1,0,0,0,0,0,0,0,2,840.7,0,0,0,0,1,1738.332591,East,New York,0,0,0,0,0,0,0,1,832.5,0,0,0,0,0,1478.877341,259.4552495,1,1,8.2,11
10,20400009,2004,11/3/2004,2004,0,0,0,0,0,0,0,0,1,859,0,0,0,0,1,1656.179902,East,Washington,0,0,0,0,0,0,0,0,564.8333333,0,0,0,0,4,1371.638417,284.5414847,1,-3,294.1666667,11
