home_w_visitor,home_l_visitor,away_w_visitor,away_l_visitor,top_players_visitor,eff_visitor,HG_7days_VISITOR,AG_7days_VISITOR,G_7days_VISITOR,back2back_visitor,missing_players_visitor,visitor_elo,month,Away_Last_10_Avg_PTS_home,Away_Last_10_Avg_FG_PCT_home,Away_Last_10_Avg_FT_PCT_home,Away_Last_10_Avg_FG3_PCT_home,Away_Last_10_Avg_AST_home,Away_Last_10_Avg_REB_home,Away_Last_10_Avg_PTS_away,Away_Last_10_Avg_FG_PCT_away,Away_Last_10_Avg_FT_PCT_away,Away_Last_10_Avg_REB_away,Away_Last_10_Avg_FG3_PCT_away,Away_Last_10_Avg_AST_away,home_team_wins
11,22,9,23,0,275,2,1,3,0,1,1340.866738,3,104.5,0.4737,0.7636,0.3474,24.8,44,104.9,0.4549,0.792,39.1,0.3477,22.6,1
11,22,9,23,1,802.5555556,3,1,4,1,0,1329.469141,3,111.8,0.478,0.7386,0.3623,23.3,45.2,110,0.4615,0.7364,39.8,0.3458,24.4,0
10,21,12,21,0,443.6,2,1,3,0,0,1366.707394,3,105.2,0.4569,0.7295,0.3564,25.8,43.1,104.6,0.457,0.7535,44.6,0.3258,24.2,0
25,8,18,13,1,1090.888889,1,2,3,0,0,1583.091061,3,116.2,0.5164,0.7863,0.3952,29.2,42.6,108.3,0.4675,0.7226,38.8,0.3378,25.2,1
23,9,19,12,1,907.125,3,1,4,0,0,1613.715502,3,111.5,0.423,0.7646,0.3406,21.6,45.9,116,0.4559,0.8021,49,0.3655,19.4,0
11,22,9,22,1,786.2,3,0,3,0,0,1333.843435,3,109.2,0.4716,0.7266,0.3353,22.9,46.7,109.9,0.4572,0.7349,40.2,0.3434,23.9,1
11,25,8,20,1,931.4285714,3,0,3,0,1,1315.733506,3,114,0.4863,0.7506,0.374,28.3,44.7,111.7,0.4843,0.7086,41.2,0.384,25.4,1
8,24,11,20,0,766,3,1,4,0,2,1353.113789,3,121.1,0.4806,0.7078,0.3434,27.9,45.4,123,0.4949,0.7173,44.1,0.3509,26,1
16,15,13,20,1,773.5,0,3,3,0,0,1489.297817,3,115.2,0.4659,0.8015,0.3464,28.9,41.9,121.8,0.5075,0.8053,44.2,0.4105,27.3,0
18,15,21,11,0,769.875,3,0,3,0,0,1579.549269,3,114.2,0.4479,0.688,0.3345,25,48.8,112.8,0.4668,0.7046,46.4,0.3447,24.9,1
13,22,13,16,0,736.375,3,0,3,0,2,1457.703895,3,112.8,0.48,0.8582,0.3858,25.6,41.1,115.1,0.482,0.8209,40.5,0.375,26,1
25,7,18,13,3,1044.272727,1,2,3,0,1,1622.417813,3,114,0.4489,0.7905,0.3463,23.6,47.2,112.1,0.4487,0.7779,45.5,0.3545,22,0
18,14,11,20,0,761,3,1,4,0,0,1463.095359,3,112.6,0.4457,0.7498,0.3454,24.3,46.4,114.5,0.4417,0.7723,47.3,0.3459,24.1,0
10,21,12,20,0,608.2,3,0,3,0,0,1371.954105,3,101.7,0.4403,0.7502,0.3362,25,42.6,102.3,0.4566,0.7274,46.3,0.3274,23.3,1
28,3,25,8,0,534.25,1,3,4,1,0,1725.180105,3,115.1,0.4553,0.8052,0.3562,26.7,50.1,107.1,0.4368,0.7709,44.7,0.2972,21,1
23,9,22,9,1,763.375,0,3,3,1,0,1653.943428,3,114.9,0.4617,0.7998,0.3527,27.8,46.7,108.6,0.4265,0.8059,42.2,0.3324,23.9,0
13,20,8,22,0,930.5,2,1,3,0,1,1335.961004,3,114,0.4917,0.7161,0.3575,25.5,42,111.9,0.4865,0.7593,41.1,0.3774,24.5,1
13,19,14,17,0,845.5714286,3,1,4,0,0,1528.074098,3,119.1,0.4721,0.7261,0.3568,30.1,48.8,118.4,0.4825,0.6994,43.2,0.3733,28.6,0
23,7,25,6,2,914.3636364,2,1,3,0,0,1672.517164,3,112.8,0.4639,0.7678,0.3152,25.4,48.2,108.2,0.4592,0.7014,42.9,0.3363,24.7,0
20,13,19,11,0,848.25,1,2,3,0,0,1599.099077,3,113.9,0.4842,0.759,0.3663,23.5,44.8,110.8,0.476,0.8294,39.8,0.3363,23.3,0
28,3,25,7,0,813.3636364,1,3,4,0,0,1742.908464,3,112.9,0.4523,0.7973,0.3453,26.5,49.8,105.1,0.4238,0.7907,45.5,0.2929,20.5,1
27,4,13,19,0,698.5,2,1,3,0,1,1564.144039,3,119.3,0.484,0.7827,0.433,27.8,43.9,111.5,0.4597,0.7615,41.7,0.3438,26.6,0
21,10,17,15,0,691.7777778,0,3,3,0,0,1554.564656,3,110.9,0.4839,0.8132,0.3394,26.9,45.5,102.1,0.4318,0.7448,43.3,0.3261,21.5,0
16,15,12,20,1,740.4545455,1,2,3,0,0,1457.406595,3,118.1,0.4742,0.8028,0.3657,30.1,42.6,121.8,0.5125,0.8188,42.4,0.4089,28.5,0
15,14,11,21,1,874.2857143,1,2,3,0,1,1492.668742,3,116,0.5021,0.7715,0.4347,25.9,42.9,111.4,0.4634,0.8242,40.9,0.3766,25,1
11,22,9,22,0,281.1111111,2,1,3,1,1,1349.483494,3,104.1,0.4791,0.7604,0.3606,25.4,41.7,106,0.4633,0.7885,40.3,0.3552,22.9,1
23,9,21,9,1,937.25,0,3,3,0,0,1647.848758,3,115.5,0.4624,0.7799,0.3669,27.6,46.5,108.6,0.4235,0.8114,43.2,0.3292,23.9,0
21,9,18,13,1,852.25,1,2,3,0,0,1605.533242,3,117.4,0.4706,0.7898,0.3238,21.9,47,114.3,0.4417,0.7869,45,0.3562,22.8,1
21,9,19,13,1,1070,0,3,3,1,0,1576.340753,3,110.3,0.4576,0.7951,0.357,21.5,42,115.8,0.5031,0.8003,41.9,0.4224,24.4,0
24,8,18,12,1,1090.888889,2,1,3,0,0,1575.625445,3,118.4,0.5175,0.8105,0.3928,29.1,41.7,112.3,0.4822,0.7826,38.3,0.3565,25.7,1
