diff_home_wins,diff_home_losses,diff_away_wins,diff_away_losses,diff_avg_pts_home,diff_avg_pts_away,diff_avg_ast_home,diff_avg_ast_away,diff_avg_fg3_pct_home,diff_avg_fg3_pct_away,diff_avg_fg_pct_home,diff_avg_fg_pct_away,diff_avg_ft_pct_home,diff_avg_ft_pct_away,diff_avg_reb_home,diff_avg_reb_away
17,-20,1,1,13,4.4,1.7,1.1,0.0362,0.0241,0.0436,-0.0146,0.0298,-0.0406,0.7,2.2
3,-3,-3,4,10.8,8.6,4.3,0.9,0.032,-0.0043,0.0005,-0.0056,0.0594,0.0387,1.2,5.4
17,-17,2,-2,11.4,6.8,1.6,2.6,0.0781,0.0311,0.0122,0.008,0.0519,0.0151,-1.6,-2
-7,7,3,-1,-0.7,3.2,-3.1,-0.6,-0.0347,0.006,-0.0562,-0.0062,-0.0972,-0.0261,5.4,6.8
-2,1,-1,3,-0.2,-13.3,4.4,2.4,0.0081,-0.037,0.0549,-0.012,0.0439,-0.0656,-0.2,-6.3
4,-6,-1,2,9,5.9,0.9,-0.7,0.078,0.0729,-0.0012,0.0318,0.0579,0.0187,-4.1,1.6
2,-5,0,3,-0.8,-0.2,-3.6,-0.9,-0.0205,-0.0088,0.0054,-0.0043,-0.021,0.0422,-2.1,-1.2
13,-14,7,-6,-6.3,-6.7,-5.9,-3,-0.0287,0.021,-0.0149,-0.0416,0.0663,0.0523,-0.3,2.3
2,-1,1,-2,-3,-14.5,-4.1,-2.5,-0.0014,-0.0783,-0.0111,-0.074,-0.0369,-0.0871,4.5,5.7
-3,-1,-10,11,2.8,1.3,1,-0.2,0.0841,0.0412,0.0476,-0.0101,0.0918,0.1391,-3.8,-5.2
4,-8,-2,7,1.6,-0.6,-0.7,-2.8,-0.0173,0.026,-0.0071,-0.0123,-0.0782,-0.0336,3.2,5.1
-17,18,-11,11,-10.2,5.3,2.6,6.3,-0.0621,0.0596,0.0058,0.0489,0.0036,-0.0245,-4.1,-4.7
5,-7,15,-14,-2,-5.1,-0.5,0.2,-0.0454,-0.0165,0.0061,0.0202,0.0257,-0.0658,0.8,-2.8
3,-2,-6,7,19.3,13,1.8,1.3,0.045,0.0127,0.0341,-0.0049,0.0725,0.0364,4,-0.8
-4,5,-7,5,2.9,3.7,3.1,5.2,0.0514,0.0606,0.0738,0.0411,-0.028,-0.027,-8.6,-7.1
-2,0,-2,4,-6,6,-6.3,-0.5,-0.0006,0.0774,-0.0046,0.0695,-0.0159,-0.0068,-3.5,-0.8
4,-6,3,-2,-2.3,1,-0.6,-0.6,-0.0231,-0.0366,-0.0551,-0.0494,0.0283,0.0219,4.9,7.3
