diff_avg_pts_home,diff_avg_pts_away,diff_avg_ast_home,diff_avg_ast_away,diff_avg_fg3_pct_home,diff_avg_fg3_pct_away,diff_avg_fg_pct_home,diff_avg_fg_pct_away,diff_avg_ft_pct_home,diff_avg_ft_pct_away,diff_avg_reb_home,diff_avg_reb_away,game_id,game_date_est
22,-8,0,-3,0.16,-0.081,-0.002,-0.009,0.143,-0.176,2,4,20700016,2007-11-02
39,19,5,-4,0.063,-0.016,-0.027,-0.024,0.233,-0.056,16,12,20700017,2007-11-02
6,6,1,1,-0.188,-0.064,-0.08,-0.067,0.02,0.122,11,-1,20700018,2007-11-02
6,6,1,1,-0.188,-0.064,-0.08,-0.067,0.02,0.122,11,-1,20700024,2007-11-02
-3,14,-2,2,-0.041,0.222,-0.031,-0.007,-0.012,-0.106,-2,8,20700025,2007-11-02
5,-8,-1,-5.5,0.09,-0.218,0.048,-0.0085,-0.055,-0.1625,-4.5,9.5,20700028,2007-11-03
14,-3,4.5,-6,-0.104,-0.201,0.0265,-0.127,0.045,0.062,13,5.5,20700029,2007-11-03
-2,6.5,0,4.5,-0.0225,0.0905,0.0695,0.0675,0,0.2175,-11,-13.5,20700030,2007-11-03
3.5,-8.5,-3.5,-2.5,0.1265,0.0905,0.0695,0.022,-0.1395,-0.0805,-0.5,-4,20700031,2007-11-03
-18,13,3,-4,-0.226,-0.149,-0.12,0.005,-0.185,0.067,4,11,20700032,2007-11-03
-12.5,8,-7,0.5,-0.2015,0.1,-0.0495,0.0425,-0.118,0.024,2.5,2.5,20700033,2007-11-03
-25,-8,-4,-4,-0.175,0.063,-0.038,0.019,-0.171,0.007,-9,5,20700034,2007-11-03
-15.5,18.5,1,14,0.0985,0.5015,-0.056,0.1345,0.135,0.0025,-10.5,-3.5,20700035,2007-11-04
10.5,9.5,0.5,-6,-0.007,-0.1225,0.044,0.0095,0.104,0.14,3,-12,20700036,2007-11-04
19,7,-5,-1,0.227,0.319,0.071,-0.004,-0.027,-0.128,-1,-6,20700037,2007-11-04
-18.5,-11,-1.5,0.5,0.051,0.0545,-0.068,-0.1015,0.1215,-0.1765,4,5.5,20700038,2007-11-04
-15,9.5,-4.5,6.5,0.1475,0.2245,-0.0345,0.0505,-0.1725,-0.033,-15,5,20700039,2007-11-04
-3,9.5,5,2,-0.0955,-0.068,-0.105,-0.0215,-0.093,-0.1015,3,18.5,20700040,2007-11-04
6.5,13.5,6.5,6,-0.0445,-0.0425,0.003,0.0625,0.086,-0.031,-1,9.5,20700041,2007-11-04
-16,11,-10,3,-0.161,0.249,-0.112,0.0685,-0.0025,0.0125,-7,18.5,20700042,2007-11-04
7.3333333333333,3,-2.8333333333333,2,0.0955,0.108833333333333,0.070666666666667,0.0245,0.056166666666667,-0.002,-2.1666666666667,-8.8333333333333,20700043,2007-11-05
-5,-11.166666666667,-1.1666666666667,-5.1666666666667,-0.043666666666667,-0.005833333333333,0.034166666666667,-0.029166666666667,-0.0935,0.050333333333333,-0.8333333333333,-7.6666666666667,20700044,2007-11-06
-6.8333333333333,8.166666666667,-3.6666666666667,10.5,0.015166666666667,0.1865,-0.068166666666667,-0.01,0.0235,0.005666666666667,-2.5,3.5,20700045,2007-11-06
3.8333333333333,1.1666666666667,-6,-6.3333333333333,0.135333333333333,0.211333333333333,0.064,0.032666666666667,0.005833333333333,-0.0825,-11.5,-9.3333333333333,20700046,2007-11-06
4,-15.6666666666663,-2.6666666666667,-5.3333333333334,-0.01,-0.202333333333333,0.012333333333333,-0.066,-0.106666666666667,-0.111333333333333,5.6666666666666,4,20700047,2007-11-06
