home_w,home_l,away_w,away_l,top_players,eff,HG_7days,AG_7days,G_7days,back2back,missing_players,home_elo,month,Home_Last_10_Avg_PTS_home,Home_Last_10_Avg_FG_PCT_home,Home_Last_10_Avg_FT_PCT_home,Home_Last_10_Avg_FG3_PCT_home,Home_Last_10_Avg_AST_home,Home_Last_10_Avg_REB_home,Home_Last_10_Avg_PTS_away,Home_Last_10_Avg_FG_PCT_away,Home_Last_10_Avg_FT_PCT_away,Home_Last_10_Avg_REB_away,Home_Last_10_Avg_FG3_PCT_away,Home_Last_10_Avg_AST_away,home_team_wins
28,2,10,24,2,826.7,0,2,2,0,0,1652.125345,3,117.5,0.5173,0.7934,0.3836,26.5,44.7,109.3,0.4403,0.7514,41.3,0.3718,23.7,1
14,19,6,27,0,874.5714286,1,2,3,0,0,1451.346682,3,122.6,0.4785,0.798,0.3943,27.6,46.4,118.6,0.4559,0.7751,45.2,0.3415,25.3,0
27,4,14,19,0,648,1,2,3,0,0,1672.569005,3,116.6,0.4691,0.7814,0.4345,27.4,41.5,111.4,0.465,0.7686,42.6,0.3569,26.8,0
18,15,21,12,0,805.3333333,3,1,4,1,0,1669.388194,3,115.5,0.4602,0.6891,0.3605,26.1,48,111.5,0.4613,0.6965,45.6,0.3438,24.6,1
21,10,18,15,0,691.7777778,0,3,3,0,1,1663.117874,3,111.3,0.4779,0.8085,0.3487,26,45.7,102.7,0.4439,0.7365,42.7,0.3285,21.8,0
15,16,8,24,1,617.125,2,2,4,0,0,1487.717917,3,118.2,0.4704,0.7845,0.4133,23.8,42.6,115.8,0.489,0.7536,41.8,0.4163,23.2,1
13,20,8,23,0,930.5,1,2,3,0,1,1433.92504,3,113.2,0.4917,0.7296,0.3535,24.7,42.6,111.5,0.48,0.7508,40,0.3752,24.5,1
21,10,18,14,2,996.3333333,2,1,3,0,0,1658.118009,3,114.8,0.4657,0.7741,0.3147,22,45.1,116.3,0.4533,0.7696,46.4,0.3719,23,1
18,14,14,18,0,582.125,1,2,3,0,0,1660.834335,3,112.2,0.4548,0.7646,0.345,24.8,46.4,107.3,0.4335,0.7182,49.9,0.3322,24.8,0
15,14,11,22,2,978.4444444,0,3,3,0,1,1585.245824,3,117,0.4955,0.7798,0.4186,26,45,114.1,0.4567,0.8437,41.2,0.3859,24.7,1
17,14,11,23,1,714.7777778,2,1,3,0,1,1579.442561,3,114.4,0.4729,0.78,0.3685,24.9,44.3,114.5,0.4697,0.7873,45.6,0.401,23.2,1
8,25,7,24,0,403.4,2,1,3,0,1,1460.698102,3,103.8,0.4547,0.7941,0.2842,26.2,43.1,117.4,0.4976,0.7534,40.8,0.4141,28.3,0
23,7,26,6,2,990.6,2,1,3,0,0,1784.565515,3,110.6,0.4518,0.7755,0.3,23.8,47.2,109.4,0.4619,0.7065,44.5,0.3294,24.3,0
13,19,6,27,0,874.5714286,1,2,3,0,0,1446.099972,3,121,0.4744,0.8227,0.3812,26.8,46.6,115.3,0.4517,0.7638,45.5,0.3401,24.6,1
24,8,18,13,1,921.6666667,1,2,3,0,0,1667.383007,3,118,0.5291,0.7772,0.4076,29.8,41.5,110.8,0.4779,0.7439,37.6,0.3578,26.2,1
21,9,20,13,1,1070,0,4,4,0,0,1681.004795,3,108.9,0.4571,0.7839,0.3521,21.5,43.2,114.6,0.496,0.7991,41.4,0.4098,23.4,0
17,14,11,20,0,692.4,2,1,3,0,0,1561.059395,3,111.7,0.4366,0.7444,0.3344,24.9,46.9,112.9,0.4371,0.7812,48.4,0.3408,23.9,1
8,23,11,20,0,766,3,1,4,0,2,1462.587742,3,121.2,0.4798,0.7072,0.3478,28.4,46,122.5,0.4927,0.7148,43.9,0.3607,25.4,0
