game_date_est,season,game_id,game_status_text,home_team_id,visitor_team_id,home_team_wins,num_possible_outcomes,team_home,team_away,odds_home,odds_away,score_home,score_away
12/31/2019,2019,21900502,Final,1610612759,1610612744,1,2,SAS,GSW,1.15,5.89,117,113
12/31/2019,2019,21900501,Final,1610612745,1610612743,1,2,HOU,DEN,1.41,3.06,130,104
12/31/2019,2019,21900503,Final,1610612760,1610612742,1,2,OKC,DAL,2.42,1.6,106,101
12/31/2019,2019,21900499,Final,1610612758,1610612746,0,2,SAC,LAC,3.32,1.36,87,105
12/31/2019,2019,21900500,Final,1610612761,1610612739,1,2,TOR,CLE,1.26,4.14,117,97
12/31/2019,2019,21900498,Final,1610612754,1610612755,1,2,IND,PHI,1.64,2.34,115,97
12/31/2019,2019,21900497,Final,1610612766,1610612738,0,2,CHA,BOS,3.74,1.3,92,109
12/31/2018,2018,21800542,Final,1610612754,1610612737,1,2,IND,ATL,1.08,8.96,116,108
12/31/2018,2018,21800543,Final,1610612766,1610612753,1,2,CHA,ORL,1.28,3.9,125,100
12/31/2018,2018,21800544,Final,1610612745,1610612763,1,2,HOU,MEM,1.54,2.56,113,101
12/31/2018,2018,21800545,Final,1610612759,1610612738,1,2,SAS,BOS,2.01,1.85,120,111
12/31/2018,2018,21800546,Final,1610612740,1610612750,1,2,NOP,MIN,1.46,2.85,123,114
12/31/2018,2018,21800547,Final,1610612760,1610612742,1,2,OKC,DAL,1.32,3.55,122,102
12/31/2018,2018,21800548,Final,1610612756,1610612744,0,2,PHX,GSW,5.63,1.16,109,132
12/31/2017,2017,21700539,Final,1610612738,1610612751,1,2,BOS,BKN,1.2,4.87,108,105
12/31/2017,2017,21700544,Final,1610612756,1610612755,0,2,PHX,PHI,2.38,1.63,110,123
12/31/2017,2017,21700543,Final,1610612758,1610612763,0,2,SAC,MEM,1.75,2.16,96,114
12/31/2017,2017,21700537,Final,1610612764,1610612741,1,2,WAS,CHI,1.29,3.77,114,110
12/31/2017,2017,21700541,Final,1610612760,1610612742,0,2,OKC,DAL,1.32,3.59,113,116
12/31/2017,2017,21700538,Final,1610612754,1610612750,0,2,IND,MIN,2.27,1.68,90,107
12/31/2017,2017,21700542,Final,1610612746,1610612766,1,2,LAC,CHA,1.79,2.09,106,98
12/31/2017,2017,21700540,Final,1610612745,1610612747,1,2,HOU,LAL,1.07,9.66,148,142
12/31/2016,2016,21600504,Final,1610612745,1610612752,1,2,HOU,NYK,1.1,8.14,129,122
12/31/2016,2016,21600506,Final,1610612762,1610612756,1,2,UTA,PHX,1.13,6.68,91,86
12/31/2016,2016,21600505,Final,1610612766,1610612739,0,2,CHA,CLE,2.02,1.86,109,121
12/31/2016,2016,21600503,Final,1610612741,1610612749,0,2,CHI,MIL,1.68,2.27,96,116
12/31/2016,2016,21600502,Final,1610612758,1610612763,0,2,SAC,MEM,2.09,1.8,98,112
12/31/2016,2016,21600507,Final,1610612760,1610612746,1,2,OKC,LAC,1.23,4.45,114,88
12/31/2015,2015,21500485,Final,1610612745,1610612744,0,2,HOU,GSW,1.64,2.37,110,114
12/31/2015,2015,21500489,Final,1610612762,1610612757,1,2,UTA,POR,1.65,2.34,109,96
12/31/2015,2015,21500484,Final,1610612754,1610612749,0,2,IND,MIL,1.41,3.07,116,120
12/31/2015,2015,21500487,Final,1610612740,1610612746,0,2,NOP,LAC,1.83,2.04,89,95
12/31/2015,2015,21500488,Final,1610612760,1610612756,1,2,OKC,PHX,1.04,14.29,110,106
12/31/2015,2015,21500486,Final,1610612765,1610612750,1,2,DET,MIN,1.27,3.99,115,90
12/31/2014,2014,21400478,Final,1610612745,1610612766,1,2,HOU,CHA,1.11,7.22,102,83
12/31/2014,2014,21400481,Final,1610612759,1610612740,1,2,SAS,NOP,1.48,2.75,95,93
12/31/2014,2014,21400480,Final,1610612760,1610612756,1,2,OKC,PHX,1.3,3.71,137,134
12/31/2014,2014,21400477,Final,1610612746,1610612752,1,2,LAC,NYK,1.09,8.15,99,78
12/31/2014,2014,21400476,Final,1610612754,1610612748,1,2,IND,MIA,1.59,2.46,106,95
12/31/2014,2014,21400475,Final,1610612738,1610612758,1,2,BOS,SAC,2.09,1.78,106,84
12/31/2014,2014,21400479,Final,1610612739,1610612749,0,2,CLE,MIL,1.97,1.87,80,96
12/31/2013,2013,21300460,Final,1610612738,1610612737,0,2,BOS,ATL,1.66,2.3,91,92
12/31/2013,2013,21300466,Final,1610612760,1610612757,0,2,OKC,POR,1.42,2.99,94,98
12/31/2013,2013,21300467,Final,1610612747,1610612749,0,2,LAL,MIL,1.39,3.12,79,94
12/31/2013,2013,21300461,Final,1610612754,1610612739,1,2,IND,CLE,1.08,8.84,91,76
12/31/2013,2013,21300465,Final,1610612759,1610612751,1,2,SAS,BKN,1.1,7.49,113,92
12/31/2013,2013,21300464,Final,1610612745,1610612758,0,2,HOU,SAC,1.18,5.23,106,110
12/31/2013,2013,21300462,Final,1610612753,1610612744,0,2,ORL,GSW,3.04,1.41,81,94
12/31/2013,2013,21300463,Final,1610612741,1610612761,0,2,CHI,TOR,1.86,1.98,79,85
12/31/2012,2012,21200454,Final,1610612753,1610612748,0,2,ORL,MIA,5.34,1.17,110,112
12/31/2012,2012,21200457,Final,1610612759,1610612751,1,2,SAS,BKN,1.17,5.34,104,73
12/31/2012,2012,21200452,Final,1610612754,1610612763,1,2,IND,MEM,1.99,1.85,88,83
12/31/2012,2012,21200453,Final,1610612741,1610612766,0,2,CHI,CHA,1.11,7.2,81,91
12/31/2012,2012,21200455,Final,1610612745,1610612737,1,2,HOU,ATL,1.53,2.64,123,104
12/31/2012,2012,21200456,Final,1610612760,1610612756,1,2,OKC,PHX,1.09,8.42,114,96
12/31/2011,2011,21100050,Final,1610612747,1610612743,1,2,LAL,DEN,1.44,2.84,92,89
12/31/2011,2011,21100051,Final,1610612765,1610612754,1,2,DET,IND,2.2,1.71,96,88
12/31/2011,2011,21100053,Final,1610612760,1610612756,1,2,OKC,PHX,1.11,7.28,107,97
12/31/2011,2011,21100055,Final,1610612759,1610612762,1,2,SAS,UTA,1.06,10.64,104,89
12/31/2011,2011,21100056,Final,1610612744,1610612755,0,2,GSW,PHI,2.11,1.77,79,107
12/31/2011,2011,21100054,Final,1610612758,1610612752,0,2,SAC,NYK,1.95,1.88,92,114
12/31/2011,2011,21100052,Final,1610612745,1610612737,1,2,HOU,ATL,1.85,1.97,95,84
12/31/2010,2010,21000479,Final,1610612741,1610612751,1,2,CHI,BKN,1.14,5.77,90,81
12/31/2010,2010,21000483,Final,1610612747,1610612755,1,2,LAL,PHI,1.14,5.74,102,98
12/31/2010,2010,21000482,Final,1610612756,1610612765,1,2,PHX,DET,1.34,3.37,92,75
12/31/2010,2010,21000481,Final,1610612760,1610612737,1,2,OKC,ATL,1.46,2.8,103,94
12/31/2010,2010,21000480,Final,1610612745,1610612761,1,2,HOU,TOR,1.21,4.54,114,105
12/31/2010,2010,21000478,Final,1610612754,1610612764,1,2,IND,WAS,1.38,3.12,95,86
12/31/2010,2010,21000477,Final,1610612766,1610612744,0,2,CHA,GSW,1.57,2.48,95,96
12/31/2010,2010,21000476,Final,1610612738,1610612740,0,2,BOS,NOP,1.42,3.01,81,83
12/31/2009,2009,20900473,Final,1610612746,1610612755,1,2,LAC,PHI,1.84,2,104,88
12/31/2009,2009,20900469,Final,1610612765,1610612741,0,2,DET,CHI,1.54,2.54,87,98
12/31/2009,2009,20900470,Final,1610612745,1610612742,1,2,HOU,DAL,2.01,1.81,97,94
12/31/2009,2009,20900471,Final,1610612759,1610612748,1,2,SAS,MIA,1.26,3.96,108,78
12/31/2009,2009,20900472,Final,1610612760,1610612762,1,2,OKC,UTA,1.63,2.33,87,86
12/31/2008,2008,20800472,Final,1610612746,1610612755,0,2,LAC,PHI,2.34,1.6,92,100
12/31/2008,2008,20800467,Final,1610612741,1610612753,0,2,CHI,ORL,2.87,1.39,94,113
12/31/2008,2008,20800468,Final,1610612765,1610612751,1,2,DET,BKN,1.39,3.05,83,75
12/31/2008,2008,20800469,Final,1610612745,1610612749,1,2,HOU,MIL,1.25,4,85,81
12/31/2008,2008,20800471,Final,1610612760,1610612744,1,2,OKC,GSW,2.18,1.68,107,100
12/30/2019,2019,21900496,Final,1610612757,1610612756,0,2,POR,PHX,1.57,2.5,116,122
12/30/2019,2019,21900494,Final,1610612750,1610612751,1,2,MIN,BKN,2.62,1.53,122,115
12/30/2019,2019,21900493,Final,1610612741,1610612749,0,2,CHI,MIL,4.48,1.23,102,123
12/30/2019,2019,21900492,Final,1610612764,1610612748,1,2,WAS,MIA,6.1,1.14,123,105
12/30/2019,2019,21900491,Final,1610612753,1610612737,0,2,ORL,ATL,1.16,5.77,93,101
12/30/2019,2019,21900495,Final,1610612762,1610612765,1,2,UTA,DET,1.21,4.77,104,81
12/30/2018,2018,21800540,Final,1610612757,1610612755,1,2,POR,PHI,1.66,2.32,129,95
12/30/2018,2018,21800539,Final,1610612742,1610612760,1,2,DAL,OKC,2.17,1.74,105,103
12/30/2018,2018,21800538,Final,1610612761,1610612741,1,2,TOR,CHI,1.16,5.84,95,89
12/30/2018,2018,21800537,Final,1610612748,1610612750,0,2,MIA,MIN,1.58,2.49,104,113
12/30/2018,2018,21800536,Final,1610612753,1610612765,1,2,ORL,DET,1.82,2.04,109,107
12/30/2018,2018,21800541,Final,1610612747,1610612758,1,2,LAL,SAC,1.81,2.07,121,114
12/30/2017,2017,21700533,Final,1610612737,1610612757,1,2,ATL,POR,2.23,1.7,104,89
12/30/2017,2017,21700531,Final,1610612753,1610612748,0,2,ORL,MIA,2.01,1.85,111,117
12/30/2017,2017,21700534,Final,1610612762,1610612739,1,2,UTA,CLE,2.33,1.65,104,101
12/30/2017,2017,21700535,Final,1610612744,1610612763,1,2,GSW,MEM,1.07,9.61,141,128
12/30/2017,2017,21700536,Final,1610612743,1610612755,0,2,DEN,PHI,1.35,3.34,102,107
12/30/2017,2017,21700532,Final,1610612740,1610612752,0,2,NOP,NYK,1.45,2.88,103,105
12/30/2017,2017,21700530,Final,1610612765,1610612759,1,2,DET,SAS,2.7,1.5,93,79
12/30/2016,2016,21600492,Final,1610612754,1610612741,1,2,IND,CHI,1.46,2.84,111,101
12/30/2016,2016,21600493,Final,1610612764,1610612751,1,2,WAS,BKN,1.29,3.85,118,95
12/30/2016,2016,21600501,Final,1610612744,1610612742,1,2,GSW,DAL,1.02,17.67,108,99
12/30/2016,2016,21600500,Final,1610612743,1610612755,0,2,DEN,PHI,1.17,5.53,122,124
12/30/2016,2016,21600499,Final,1610612759,1610612757,1,2,SAS,POR,1.18,5.3,110,94
12/30/2016,2016,21600498,Final,1610612737,1610612765,1,2,ATL,DET,1.71,2.23,105,98
12/30/2016,2016,21600497,Final,1610612750,1610612749,1,2,MIN,MIL,1.87,1.98,116,99
12/30/2016,2016,21600496,Final,1610612745,1610612746,1,2,HOU,LAC,1.16,5.73,140,116
12/30/2016,2016,21600495,Final,1610612740,1610612752,1,2,NOP,NYK,1.64,2.35,104,92
12/30/2016,2016,21600494,Final,1610612738,1610612748,1,2,BOS,MIA,1.2,4.92,117,114
12/30/2015,2015,21500474,Final,1610612766,1610612746,0,2,CHA,LAC,2.16,1.74,117,122
12/30/2015,2015,21500475,Final,1610612753,1610612751,1,2,ORL,BKN,1.3,3.75,100,93
12/30/2015,2015,21500476,Final,1610612738,1610612747,0,2,BOS,LAL,1.07,10.4,104,112
12/30/2015,2015,21500477,Final,1610612761,1610612764,1,2,TOR,WAS,1.3,3.76,94,91
12/30/2015,2015,21500478,Final,1610612741,1610612754,1,2,CHI,IND,1.65,2.33,102,100
12/30/2015,2015,21500479,Final,1610612750,1610612762,1,2,MIN,UTA,1.56,2.54,94,80
12/30/2015,2015,21500480,Final,1610612742,1610612744,1,2,DAL,GSW,2.44,1.6,114,91
12/30/2015,2015,21500483,Final,1610612758,1610612755,0,2,SAC,PHI,1.17,5.56,105,110
12/30/2015,2015,21500481,Final,1610612759,1610612756,1,2,SAS,PHX,1.04,13.74,112,79
12/30/2015,2015,21500482,Final,1610612757,1610612743,1,2,POR,DEN,1.39,3.13,110,103
12/30/2014,2014,21400470,Final,1610612742,1610612764,1,2,DAL,WAS,1.48,2.75,114,87
12/30/2014,2014,21400465,Final,1610612753,1610612765,0,2,ORL,DET,2.03,1.83,86,109
12/30/2014,2014,21400468,Final,1610612763,1610612759,1,2,MEM,SAS,1.88,1.96,95,87
12/30/2014,2014,21400467,Final,1610612741,1610612751,0,2,CHI,BKN,1.18,5.23,82,96
12/30/2014,2014,21400466,Final,1610612737,1610612739,1,2,ATL,CLE,1.36,3.28,109,101
12/30/2014,2014,21400469,Final,1610612740,1610612756,1,2,NOP,PHX,1.81,2.05,110,106
12/30/2014,2014,21400471,Final,1610612743,1610612747,0,2,DEN,LAL,1.43,2.92,103,111
