TEAM,TEAM ABBREVIATION,SEASON,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,ATL,2020,,0-3,1-3,0-3,2-0,0-2,1-1,1-1,1-2,1-0,0-2,1-2,1-1,0-2,0-2,1-3,0-3,1-1,,1-2,0-1,2-2,1-2,1-1,1-1,0-1,2-0,0-3,0-1,1-2,,,,,,,,,,,,,,,,,,,
Boston Celtics,BOS,2020,3-0,,2-2,2-0,3-0,4-0,2-0,1-1,1-1,2-0,0-2,1-1,1-1,1-1,2-0,2-1,1-2,1-0,1-1,3-0,1-1,3-0,1-3,1-1,2-0,1-1,1-1,3-1,1-1,1-2,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,BKN,2020,3-1,2-2,,3-0,3-1,1-0,0-1,1-1,2-1,1-0,1-1,1-2,1-0,1-1,0-2,1-2,1-1,0-2,2-0,2-2,0-1,1-3,1-3,1-1,1-1,2-0,1-1,1-3,0-2,1-2,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,CLH,2020,0-2,0-3,1-3,3-1,,1-1,1-1,0-2,4-0,2-0,1-1,1-3,0-1,0-1,0-2,1-1,0-3,1-1,0-1,3-0,0-1,0-2,0-1,0-2,0-1,2-0,0-2,1-2,0-2,1-2,,,,,,,,,,,,,,,,,,,
Chicago Bulls,CHI,2020,3-0,0-2,0-3,,1-3,3-1,1-1,,4-0,0-2,0-1,0-4,1-0,0-1,2-0,0-2,0-4,1-1,0-2,1-2,0-2,0-1,0-2,0-1,0-2,1-1,1-0,0-3,0-1,3-1,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,CLE,2020,2-0,0-4,0-1,1-3,1-1,,0-2,2-0,2-2,0-1,0-1,1-2,0-2,0-1,1-1,1-3,0-3,1-1,0-2,1-3,0-2,0-3,1-3,,1-0,,2-0,0-3,0-1,2-1,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,DAL,2020,1-1,0-2,1-0,1-1,1-1,2-0,,2-1,1-0,3-0,1-2,1-1,0-3,1-3,2-1,0-2,2-0,3-0,4-0,0-2,1-1,2-0,2-0,1-3,2-2,3-1,3-1,1-1,1-2,1-1,,,,,,,,,,,,,,,,,,,
Denver Nuggets,DEN,2020,1-1,1-1,1-1,,2-0,0-2,1-2,,1-1,1-1,2-2,1-1,1-2,1-3,2-1,1-1,2-0,4-0,1-2,2-0,2-1,2-0,1-1,4-0,3-1,2-1,2-0,1-1,3-0,1-1,,,,,,,,,,,,,,,,,,,
Detroit Pistons,DET,2020,2-1,1-1,1-2,0-4,0-4,2-2,0-1,1-1,,1-0,1-0,3-1,0-1,0-1,0-2,0-1,0-3,0-1,1-1,1-2,0-2,1-1,0-3,2-0,0-1,1-1,1-1,0-3,0-2,1-3,,,,,,,,,,,,,,,,,,,
Golden State Warriors,GOL,2020,0-1,0-2,0-1,2-0,0-2,1-0,0-3,1-1,0-1,,1-2,0-1,0-3,0-3,1-2,0-2,0-1,1-2,2-2,0-1,0-3,1-1,1-1,2-2,1-2,0-3,0-2,0-1,0-4,1-1,,,,,,,,,,,,,,,,,,,
Houston Rockets,HOU,2020,2-0,2-0,1-1,1-0,1-1,1-0,2-1,2-2,0-1,2-1,,1-1,2-2,2-1,2-1,1-1,1-1,4-0,3-1,1-1,1-2,1-1,1-1,2-1,1-3,2-1,1-2,1-0,2-1,1-0,,,,,,,,,,,,,,,,,,,
Indiana Pacers,IND,2020,2-1,1-1,2-1,4-0,3-1,2-1,1-1,1-1,1-3,1-0,1-1,,0-1,2-0,2-0,1-3,1-3,2-0,0-2,2-1,2-0,3-0,3-1,1-1,1-1,1-0,1-0,1-3,1-1,2-0,,,,,,,,,,,,,,,,,,,
Los Angeles Clippers,LAC,2020,1-1,1-1,0-1,0-1,1-0,2-0,3-0,2-1,1-0,3-0,2-2,1-0,,2-2,2-1,2-0,0-2,2-1,3-1,1-0,3-1,2-0,1-1,2-2,3-0,1-2,3-1,2-0,1-2,2-0,,,,,,,,,,,,,,,,,,,
Los Angeles Lakers,LOS,2020,2-0,1-1,1-1,1-0,1-0,1-0,3-1,3-1,1-0,3-0,1-2,0-2,2-2,,3-1,2-0,1-1,1-0,4-0,2-0,3-1,1-1,1-1,3-0,2-1,2-1,3-0,0-2,3-0,1-0,,,,,,,,,,,,,,,,,,,
Memphis Grizzlies,MEM,2020,2-0,0-2,2-0,0-2,2-0,1-1,1-2,1-2,2-0,2-1,1-2,0-2,1-2,1-3,,1-1,1-1,3-0,0-3,1-0,2-1,0-2,0-1,3-1,1-1,1-3,2-2,0-1,1-3,2-0,,,,,,,,,,,,,,,,,,,
Miami Heat,MIA,2020,3-1,1-2,2-1,2-0,1-1,3-1,2-0,1-1,1-0,2-0,1-1,3-1,0-2,0-2,1-1,,2-1,0-2,1-1,1-1,1-1,3-1,3-1,1-1,1-1,1-1,1-1,2-1,1-1,3-1,,,,,,,,,,,,,,,,,,,
Milwaukee Bucks,MIL,2020,3-0,2-1,1-1,4-0,3-0,3-0,0-2,0-2,3-0,1-0,1-1,3-1,2-0,1-1,1-1,1-2,,2-0,2-0,3-0,2-0,4-0,2-1,1-1,2-0,2-0,1-1,2-1,1-1,3-0,,,,,,,,,,,,,,,,,,,
Minnesota Timberwolves,MIN,2020,1-1,0-1,2-0,1-1,1-1,1-1,0-3,0-4,1-0,2-1,0-4,0-2,1-2,0-1,0-3,2-0,0-2,,1-2,,0-3,0-2,0-1,0-2,1-1,1-2,2-0,0-2,1-2,1-1,,,,,,,,,,,,,,,,,,,
New Orleans Pelicans,NOP,2020,,1-1,0-2,2-0,1-0,2-0,0-4,2-1,1-1,2-2,1-3,2-0,1-3,0-4,3-0,1-1,0-2,2-1,,1-0,0-4,0-2,0-1,1-1,4-0,1-2,0-2,0-2,1-3,1-0,,,,,,,,,,,,,,,,,,,
New York Knicks,NYK,2020,2-1,0-3,2-2,2-1,0-3,3-1,2-0,0-2,2-1,1-0,1-1,1-2,0-1,0-2,0-1,1-1,0-3,,0-1,,0-1,1-1,0-4,0-2,1-1,1-1,0-2,0-2,0-2,1-3,,,,,,,,,,,,,,,,,,,
Oklahoma City Thunder,OKC,2020,1-0,1-1,1-0,2-0,1-0,2-0,1-1,1-2,2-0,3-0,2-1,0-2,1-3,1-3,1-2,1-1,0-2,3-0,4-0,1-0,,2-0,1-1,2-1,2-2,2-1,2-2,1-1,2-1,1-1,,,,,,,,,,,,,,,,,,,
Orlando Magic,ORL,2020,2-2,0-3,3-1,1-0,2-0,3-0,0-2,0-2,1-1,1-1,1-1,0-3,0-2,1-1,2-0,1-3,0-4,2-0,2-0,1-1,0-2,,2-1,1-1,0-2,2-0,1-1,0-4,0-2,4-0,,,,,,,,,,,,,,,,,,,
Philadelphia 76ers,PHI,2020,2-1,3-1,3-1,2-0,1-0,3-1,0-2,1-1,3-0,1-1,1-1,1-3,1-1,1-1,1-0,1-3,1-2,1-0,1-0,4-0,1-1,1-2,,0-2,1-1,2-0,2-0,1-3,1-1,2-1,,,,,,,,,,,,,,,,,,,
Phoenix Suns,PHO,2020,1-1,1-1,1-1,1-0,2-0,,3-1,0-4,0-2,2-2,1-2,1-1,2-2,0-3,1-3,1-1,1-1,2-0,1-1,2-0,1-2,1-1,2-0,,2-2,2-2,1-2,0-2,1-1,1-1,,,,,,,,,,,,,,,,,,,
Portland Trail Blazers,PLB,2020,1-1,0-2,1-1,2-0,1-0,0-1,2-2,1-3,1-0,2-1,3-1,1-1,0-3,1-2,1-1,1-1,0-2,1-1,0-4,1-1,2-2,2-0,1-1,2-2,,2-2,2-1,1-1,1-2,2-0,,,,,,,,,,,,,,,,,,,
Sacramento Kings,SAC,2020,1-0,1-1,0-2,1-1,0-2,,1-3,1-2,1-1,3-0,1-2,0-1,2-1,1-2,3-1,1-1,0-2,2-1,2-1,1-1,1-2,0-2,0-2,2-2,2-2,,1-2,0-2,1-2,2-0,,,,,,,,,,,,,,,,,,,
San Antonio Spurs,SAN,2020,0-2,1-1,1-1,0-1,2-0,0-2,1-3,0-2,1-1,2-0,2-1,0-1,1-3,0-3,2-2,1-1,1-1,0-2,2-0,2-0,2-2,1-1,0-2,2-1,1-2,2-1,,1-1,3-1,1-1,,,,,,,,,,,,,,,,,,,
Toronto Raptors,TOR,2020,3-0,1-3,3-1,3-0,2-1,3-0,1-1,1-1,3-0,1-0,0-1,3-1,0-2,2-0,1-0,1-2,1-2,2-0,2-0,2-0,1-1,4-0,3-1,2-0,1-1,2-0,1-1,,2-0,2-0,,,,,,,,,,,,,,,,,,,
Utah Jazz,UTA,2020,1-0,1-1,2-0,1-0,2-0,1-0,2-1,0-3,2-0,4-0,1-2,1-1,2-1,0-3,3-1,1-1,1-1,2-1,3-1,2-0,1-2,2-0,1-1,1-1,2-1,2-1,1-3,0-2,,2-0,,,,,,,,,,,,,,,,,,,
Washington Wizards,WAS,2020,2-1,2-1,2-1,1-3,2-1,1-2,1-1,1-1,3-1,1-1,0-1,0-2,0-2,0-1,0-2,1-3,0-3,1-1,0-1,3-1,1-1,0-4,1-2,1-1,0-2,0-2,1-1,0-2,0-2,,,,,,,,,,,,,,,,,,,,
Atlanta Hawks,ATL,2019,,0-4,0-3,2-2,1-3,2-1,1-1,1-1,1-2,0-2,0-2,0-4,1-1,1-1,1-1,3-1,1-3,2-0,2-0,1-3,1-1,0-4,3-1,2-0,0-2,0-2,0-2,0-3,1-1,2-2,,,,,,,,,,,,,,,,,,,
Boston Celtics,BOS,2019,4-0,,2-2,2-1,2-2,4-0,1-1,0-2,3-1,1-1,0-2,3-1,0-2,1-1,2-0,3-1,1-2,2-0,2-0,3-1,2-0,0-3,3-1,1-1,0-2,2-0,0-2,2-2,0-2,3-0,,,,,,,,,,,,,,,,,,,
Brooklyn Nets,BKN,2019,3-0,2-2,,3-1,2-2,3-1,1-1,2-0,2-1,0-2,1-1,1-2,0-2,2-0,1-1,2-2,1-3,0-2,1-1,3-1,0-2,2-1,2-2,2-0,0-2,2-0,1-1,1-3,0-2,2-2,,,,,,,,,,,,,,,,,,,
Charlotte Hornets,CLH,2019,3-1,2-2,2-2,2-1,,3-1,0-2,1-1,4-0,0-2,0-2,1-2,0-2,0-2,2-0,2-2,1-3,1-1,1-1,2-1,0-2,2-2,0-4,2-0,0-2,1-1,2-0,2-1,0-2,3-1,,,,,,,,,,,,,,,,,,,
Chicago Bulls,CHI,2019,2-2,1-2,1-3,,1-2,3-1,0-2,0-2,0-4,0-2,0-2,0-4,0-2,0-2,2-0,1-2,0-4,0-2,0-2,1-2,1-1,2-2,1-3,2-0,0-2,0-2,1-1,0-4,0-2,3-1,,,,,,,,,,,,,,,,,,,
Cleveland Cavaliers,CLE,2019,1-2,0-4,1-3,1-3,1-3,,0-2,0-2,1-3,0-2,1-1,1-3,0-2,1-1,1-1,0-4,1-3,0-2,0-2,3-0,0-2,1-2,1-2,1-1,0-2,0-2,0-2,1-3,0-2,2-2,,,,,,,,,,,,,,,,,,,
Dallas Mavericks,DAL,2019,1-1,1-1,1-1,2-0,2-0,2-0,,0-3,1-1,2-2,2-2,1-1,2-2,0-3,1-3,0-2,0-2,2-1,1-3,1-1,3-1,1-1,1-1,2-2,2-2,0-3,0-4,0-2,1-3,1-1,,,,,,,,,,,,,,,,,,,
Denver Nuggets,DEN,2019,1-1,2-0,0-2,2-0,1-1,2-0,3-0,,1-1,1-3,1-3,1-1,3-1,2-1,2-1,2-0,0-2,4-0,2-2,2-0,4-0,2-0,1-1,3-1,3-1,3-0,2-2,2-0,1-3,1-1,,,,,,,,,,,,,,,,,,,
